item_name,material,display_name,price_per_unit,slot
小麦,WHEAT,&e&l小麦收购,1.5,0
竹子,BAMBOO,&a&l竹子收购,1,1
西瓜,MELON,&f&l西瓜收购,3,2
南瓜,PUMPKIN,&f&l南瓜收购,3,3
甜浆果,SWEET_BERRIES,&d&l甜浆果收购,1.5,4
甜菜,BEETROOT,&c&l甜菜收购,1.5,5
马铃薯,POTATO,&e&l马铃薯收购,0.5,6
胡萝卜,CARROT,&6&l胡萝卜收购,1,7
仙人掌,CACTUS,&a&l仙人掌收购,0.5,8
钻石,DIAMOND,&b&l钻石收购,30,9
粗金,RAW_GOLD,&6&l粗金收购,8,10
粗铁,RAW_IRON,&f&l粗铁收购,5,11
粗铜,RAW_COPPER,&e&l粗铜收购,1,12
红石,REDSTONE,&c&l红石收购,2,13
煤炭,COAL,&8&l煤炭收购,1,14
青金石,LAPIS_LAZULI,&9&l青金石收购,1,15
甘蔗,SUGAR_CANE,&a&l甘蔗收购,1,16
生鸡肉,CHICKEN,&f&l生鸡肉收购,1,18
生兔肉,RABBIT,&f&l生兔肉收购,1,19
生羊肉,MUTTON,&f&l生羊肉收购,1,20
生牛肉,BEEF,&f&l生牛肉收购,1,21
热带鱼,TROPICAL_FISH,&b&l热带鱼收购,3,22
鳕鱼,COD,&9&l鳕鱼收购,1,23
鲑鱼,SALMON,&c&l鲑鱼收购,1,24
生猪排,PORKCHOP,&f&l生猪排收购,1,25
鸡蛋,EGG,&f&l鸡蛋收购,1,26
皮革,LEATHER,&e&l皮革收购,0.5,27
骨头,BONE,&f&l骨头收购,0.5,28
羽毛,FEATHER,&f&l羽毛收购,0.5,29
腐肉,ROTTEN_FLESH,&7&l腐肉收购,0.2,30
